# epoch-blocks.csv — HOURLY epoch -> first Base block at or after epoch*3600
# RPC: https://mainnet.base.org   built: 2026-07-21
# epoch rule: Panel.Build.epochOfSeconds 3600 (single source of truth); boundary instant = epoch * 3600
# window blocks 43781657..48879461; columns: epoch, block_number, block_timestamp (unix seconds)
epoch,block_number,block_timestamp
493823,45486727,1777762801
493824,45488527,1777766401
493825,45490327,1777770001
493826,45492127,1777773601
493827,45493927,1777777201
493828,45495727,1777780801
493829,45497527,1777784401
493830,45499327,1777788001
493831,45501127,1777791601
493832,45502927,1777795201
493833,45504727,1777798801
493834,45506527,1777802401
493835,45508327,1777806001
493836,45510127,1777809601
493837,45511927,1777813201
493838,45513727,1777816801
493839,45515527,1777820401
493840,45517327,1777824001
493841,45519127,1777827601
493842,45520927,1777831201
493843,45522727,1777834801
493844,45524527,1777838401
493845,45526327,1777842001
493846,45528127,1777845601
493847,45529927,1777849201
493848,45531727,1777852801
493849,45533527,1777856401
493850,45535327,1777860001
493851,45537127,1777863601
493852,45538927,1777867201
493853,45540727,1777870801
493854,45542527,1777874401
493855,45544327,1777878001
493856,45546127,1777881601
493857,45547927,1777885201
493858,45549727,1777888801
493859,45551527,1777892401
493860,45553327,1777896001
493861,45555127,1777899601
493862,45556927,1777903201
493863,45558727,1777906801
493864,45560527,1777910401
493865,45562327,1777914001
493866,45564127,1777917601
493867,45565927,1777921201
493868,45567727,1777924801
493869,45569527,1777928401
493870,45571327,1777932001
493871,45573127,1777935601
493872,45574927,1777939201
493873,45576727,1777942801
493874,45578527,1777946401
493875,45580327,1777950001
493876,45582127,1777953601
493877,45583927,1777957201
493878,45585727,1777960801
493879,45587527,1777964401
493880,45589327,1777968001
493881,45591127,1777971601
493882,45592927,1777975201
493883,45594727,1777978801
493884,45596527,1777982401
493885,45598327,1777986001
493886,45600127,1777989601
493887,45601927,1777993201
493888,45603727,1777996801
493889,45605527,1778000401
493890,45607327,1778004001
493891,45609127,1778007601
493892,45610927,1778011201
493893,45612727,1778014801
493894,45614527,1778018401
493895,45616327,1778022001
493896,45618127,1778025601
493897,45619927,1778029201
493898,45621727,1778032801
493899,45623527,1778036401
493900,45625327,1778040001
493901,45627127,1778043601
493902,45628927,1778047201
493903,45630727,1778050801
493904,45632527,1778054401
493905,45634327,1778058001
493906,45636127,1778061601
493907,45637927,1778065201
493908,45639727,1778068801
493909,45641527,1778072401
493910,45643327,1778076001
493911,45645127,1778079601
493912,45646927,1778083201
493913,45648727,1778086801
493914,45650527,1778090401
493915,45652327,1778094001
493916,45654127,1778097601
493917,45655927,1778101201
493918,45657727,1778104801
493919,45659527,1778108401
493920,45661327,1778112001
493921,45663127,1778115601
493922,45664927,1778119201
493923,45666727,1778122801
493924,45668527,1778126401
493925,45670327,1778130001
493926,45672127,1778133601
493927,45673927,1778137201
493928,45675727,1778140801
493929,45677527,1778144401
493930,45679327,1778148001
493931,45681127,1778151601
493932,45682927,1778155201
493933,45684727,1778158801
493934,45686527,1778162401
493935,45688327,1778166001
493936,45690127,1778169601
493937,45691927,1778173201
493938,45693727,1778176801
493939,45695527,1778180401
493940,45697327,1778184001
493941,45699127,1778187601
493942,45700927,1778191201
493943,45702727,1778194801
493944,45704527,1778198401
493945,45706327,1778202001
493946,45708127,1778205601
493947,45709927,1778209201
493948,45711727,1778212801
493949,45713527,1778216401
493950,45715327,1778220001
493951,45717127,1778223601
493952,45718927,1778227201
493953,45720727,1778230801
493954,45722527,1778234401
493955,45724327,1778238001
493956,45726127,1778241601
493957,45727927,1778245201
493958,45729727,1778248801
493959,45731527,1778252401
493960,45733327,1778256001
